"produkt_id";"sku";"cena";"ilosc"
19105684;69772;2122.22;0
20988741;102714;2035.22;0
15727332;DL-7010-TW-I53-250-RW-W7PR;685.55;0
15727333;DL-7010-TW-I5-3470-W7PR;;0
15727491;HP-6300-DT-PEN2-250-DVD-W10PRO;;0
22682162;102880;;0
16972688;55792;898.88;0
15726678;62258;;1
15725910;59518;;1
15726080;60248;;1
16971851;58948;525.22;0
22682455;59444;;0
22682160;102876;;0
22682161;102878;;0
15726079;60246;;1
22682233;55856;;0
15727329;DL-7010-TW-I53-1000-RW-W7HP;;0
15727330;DL-7010-TW-I53-160-RW-W7PR;;1
15727490;HP-6300-DT-I53-500-RW-W7HP;477.77;1
15726078;60244;;1
15727328;DL-7010-TW-I33-500-RW-W7PR;;0
15727489;HP-6300-DT-I53-500-RW-W7HE;;0
15726676;62254;;1
15726328;60814;;1
15726675;62252;;1
15726077;60242;;1
22682289;57848;;0
15727326;DL-7010-TW-I33-250-RW-W8PR;532.22;0
15727325;DL-7010-TW-I33-250-RW-W7PR;508.08;0
15727324;DL-7010-SL-I73-500-RW-W7PR;1055.55;7
19659582;70028;1755.55;0
22682231;55854;;0
15726472;61426;;1
15726325;60808;;1
15727488;HP-6300-DT-I32-250-RW-W7PR;;1
22682230;55852;;0
15725904;59506;;1
15726076;60240;;1
15726075;60238;228.22;1
15727323;DL-7010-SL-I73-500-RW-NOCOA;1022.22;0
15727487;HP-6200-TW-PEN6-160-RW-W7HP;;0
15726505;61488;435.22;0
22682287;57760;;0
15725903;59504;;1
22682581;60142;;0
15727322;DL-7010-SL-I73-260SSD-RW-W7PR;;0
15727486;HP-6200-TW-I32-500-RW-W7PR;;1
15726670;62244;;1
15726828;62564;;1
15726671;62246;;1
22682307;58030;;0
22682579;60136;;0
16139166;66352;422.22;0
15726668;62240;;1
15726669;62242;;0
20363930;DL-GX520-SL-PEND-80-NC;;1
15726827;62562;;1
22682578;60132;;0
22682576;60116;;0
20363969;HP-XW4600-TW-E8-RW-NC;255.55;1
20363970;HP-XW4600-TW-E8-RW-W7PR;232.22;1
20363971;HP-XW4600-TW-Q9-RW-NC;;2
20363996;NO-NOMODEL-TW-Q8-RW-NC;;1
20363975;HP-Z420-TW-XEE-2000-RW-W7PR;;2
20363974;HP-Z420-TW-XEE-1000-W8PR;;1
20363968;HP-XW4600-TW-E8-250-RW-NC;;2
16970819;60772;698.55;0
20363985;LN-M57-DT-PEN2-160-RW-NC;;1
17621444;69484;;1
17621445;69486;;1
17635104;69482;1692.22;0
17631656;67100;1333.33;0
20363978;LN--60-PEND-RW-NC;;1
20363979;LN--79-PEN5-RW-NC;;1
15727321;DL-7010-SL-I53-500-RW-W8PR;;0
17621389;67416;2348.44;14
20363986;LN--M8-PEND-RW-NC;;3
20363987;LN-M92P-DT-I52-250-RW-W7PR;;1
20363988;LN-M92P-US-I53-320-W7PR;;0
15725236;56524;;1
15725634;58964;312.02;0
15725424;57328;;1
15725022;55460;;1
15725474;57952;;1
15725588;58548;;1
15725357;56790;;1
15725309;56666;;1
22682509;59788;;0
15725688;59074;;1
15725296;56640;;1
15725285;56618;;1
15725656;59008;;1
15725655;59006;;1
15725298;56644;;1
15725299;56646;;1
15725750;59196;;1
15725414;57304;;1
15724995;55102;598.88;1
15725671;59038;;1
15725279;56606;;1
15725278;56604;;1
15725301;56650;;1
22682390;59116;;0
15725290;56628;;1
15725302;56652;;1
15725100;55906;;1
15725152;56044;;1
15725409;57286;;1
22682665;60400;;0
22682664;60392;;0
15725162;56226;;1
22682724;60674;;0
15725411;57292;;1
15725407;57282;;1
15725522;58226;;1
15725521;58224;;1
15725512;58140;;1
15724913;41268;;1
15725546;58274;;1
15725537;58256;;1
15724979;55038;;1
15724916;45718;;1
15724919;50128;;1
15725113;55936;;1
15725659;59014;;1
15725147;56032;1348.44;1
22682286;57488;;0
22682487;59522;;0
15725157;56150;;1
15725422;57324;;1
22682779;60842;;0
22682733;60710;;0
15725375;56844;;1
15725329;56706;;1
22682285;57480;;0
15725345;56736;;1
15725397;57240;;1
22682514;59808;;0
15725293;56634;;1
15724966;54924;;1
15726071;60230;;1
15726826;62560;;1
15726265;60688;798.88;0
15726786;62468;1348.44;0
15727319;DL-7010-SL-I53-500-RW-W7HP;;1
15727320;DL-7010-SL-I53-500-RW-W7PR;662.22;17
15727485;HP-6200-TW-I32-500-RW-NOCOA;;0
20363984;LN-M57-DT-E6-160-NC;;0
20363981;LN-9162-DT-E6-160-DVD-NC;;4
23906365;104624;1322.22;1
24005448;HP-6305-DT-A85-500-RW-W7HP;;49
22682261;57156;;0
15726666;62236;;1
15726825;62558;608.08;0
22682352;58688;;0
22682351;58670;;0
17054113;55864;448.44;0
17054134;56356;448.44;0
17054152;60660;382.22;0
17054174;62614;458.22;0
17054195;60608;472.22;1
17054213;62672;488.88;0
17054804;62328;498.88;0
22725708;68539;398.88;1
17845296;AP-IMAC91-AO-E8-1000-RW-OSX;;1
16972283;55752;392.22;0
20363931;DL-T1700-TW-I54-500-W7PR;1069.55;0
17054066;55834;448.44;2
17052943;60158;467.55;0
20363973;HP-Z420-TW-XEE-1000-RW-W7PR;;4
20363980;LN-8189-DT-PEN4-80-DVD-NC;;1
20363989;LN-M93P-DT-I54-500-RW-W7PR;847.22;6
20363982;LN-A55-DT-PEND-80-NC;;2
15727484;HP-6200-TW-I32-250-RW-W7PR;;0
20363995;NO-NOMODEL-TW-Q6-RW-NC;;1
20363983;LN-M57-DT-E6-160-DVD-NC;;4
15727317;DL-7010-SL-I53-500-RW-W7HE;;0
22682429;59366;;0
17621390;67418;;1
17613680;67126;648.44;0
17621437;69466;;1
22682260;57146;;0
15725484;57994;;1
22682663;60390;;0
15725490;58038;;1
15725492;58044;;1
15725496;58078;;1
22682798;60996;;0
15725090;55884;;1
22682591;60176;;0
15725665;59026;;1
15725666;59028;;1
15725667;59030;;1
15724969;54982;477.77;0
22682570;60080;;0
15725548;58278;;1
15725549;58280;;1
22682709;60636;;0
15725589;58550;;1
22682316;58114;;0
15725238;56528;;1
15725896;59490;1298.88;0
15725642;58980;;1
15727315;DL-7010-SL-I53-320-W7HE;;0
15725657;59010;;1
16965579;60270;398.55;0
16965157;59108;288.88;0
15726662;62228;;1
15726663;62230;;1
15726824;62556;527.22;1
16965191;56800;625.22;0
22682153;102712;;0
15727304;DL-7010-SL-I33-250-W7PR;405.05;0
15727305;DL-7010-SL-I53-1000-DVD-W7PR;;0
15727306;DL-7010-SL-I53-120SSD-RW-W7PR;;0
15727307;DL-7010-SL-I53-1TB-RW-W10PR;;0
15727308;DL-7010-SL-I53-250-DVD-W7HE;;0
15727309;DL-7010-SL-I53-250-DVD-W7HP;755.55;31
15727310;DL-7010-SL-I53-250-RW-NOCOA;;1
15727311;DL-7010-SL-I53-250-RW-W7PR;656.55;3
15727312;DL-7010-SL-I53-250-RW-W8PR;7443.44;2
15727313;DL-7010-SL-I53-320-DVD-NOCOA;;0
15727314;DL-7010-SL-I53-320-DVD-W7HE;;0
15727277;DL-3020-SL-I54-500-RW-W8PR;;0
23676870;LN-M92P-DT-I53-500-RW-W7PR;650.55;67
15727483;HP-6200-DT-I52-250-RW-W7HE;432.22;0
